用户ID,日期,设备型号,作业区域,操作员等级,挖掘模式,铲斗容量(m³),岩石硬度,煤层硬度等级,泥土湿度(%),煤层厚度(m),煤岩比,瓦斯浓度(%),坡度角(°),环境温度(℃),液压压力(MPa),液压油温(℃),发动机负载率(%),设备利用率(%),油耗(L),挖掘量(m³),故障次数,故障代码,故障部位,是否停机,维修时长(h),维修费用(元)
U0012,2026-06-04,CME330,西翼4区,高级,重载,2.0,7.5,硬煤层,9,3.7,2:1,0.43,11,25,35.0,69,88,84,106,710,1,E223,回转减速机,否,2.5,2200
U0013,2026-06-05,CME220,南翼3区,高级,经济,1.2,2.7,软煤层,26,2.1,1:4,0.24,3,20,30.2,54,66,98,62,1050,0,NORMAL,无,否,0,0
U0014,2026-06-05,CME260,南翼4区,初级,标准,1.5,4.8,中硬煤层,17,2.9,1:2,0.32,7,22,32.5,60,77,92,79,910,0,NORMAL,无,否,0,0
U0015,2026-06-05,CME330,北翼3区,高级,重载,2.0,6.9,硬煤层,11,3.6,2:1,0.41,10,24,34.8,68,87,87,101,740,1,E209,斗杆油缸,否,1.5,1000
U0016,2026-06-06,CME220,北翼4区,中级,经济,1.2,3.0,软煤层,23,2.3,1:3,0.28,5,21,30.8,56,69,96,66,995,0,NORMAL,无,否,0,0
U0017,2026-06-06,CME260,东翼5区,高级,标准,1.5,5.4,中硬煤层,15,3.0,1:2,0.35,8,23,33.0,62,80,94,84,870,0,NORMAL,无,否,0,0
U0018,2026-06-06,CME330,东翼6区,中级,重载,2.0,7.8,极硬煤层,7,3.9,2:1,0.45,12,26,35.3,72,90,74,112,670,2,E503,主泵总成,是,7,12000
U0019,2026-06-07,CME220,西翼5区,高级,经济,1.2,3.6,软煤层,21,2.5,1:3,0.27,5,22,31.1,57,72,95,68,975,0,NORMAL,无,否,0,0
U0020,2026-06-07,CME260,西翼6区,中级,标准,1.5,5.7,硬煤层,13,3.2,1:2,0.36,8,24,33.3,64,82,89,87,845,1,E318,液压阀组,否,2,1600
U0021,2026-06-07,CME330,南翼5区,高级,重载,2.0,8.2,极硬煤层,5,4.1,2:1,0.48,14,28,35.8,75,93,68,118,620,2,E601,发动机,是,8,18000
U0022,2026-06-08,CME220,南翼6区,高级,经济,1.2,2.8,软煤层,25,2.2,1:4,0.23,4,20,30.4,55,67,97,63,1040,0,NORMAL,无,否,0,0
U0023,2026-06-08,CME260,北翼5区,中级,标准,1.5,4.9,中硬煤层,18,2.8,1:2,0.31,6,22,32.2,59,76,93,77,920,0,NORMAL,无,否,0,0
U0024,2026-06-08,CME330,北翼6区,高级,重载,2.0,7.3,硬煤层,9,3.8,2:1,0.42,11,25,34.9,69,88,85,105,705,1,E226,回转支承,否,2,2500
U0025,2026-06-09,CME220,东翼7区,高级,经济,1.2,3.3,软煤层,20,2.5,1:3,0.26,5,21,31.0,57,71,96,67,990,0,NORMAL,无,否,0,0
U0026,2026-06-09,CME260,东翼8区,高级,标准,1.5,5.1,中硬煤层,16,3.0,1:2,0.32,7,23,32.7,61,78,94,80,895,0,NORMAL,无,否,0,0
U0027,2026-06-09,CME330,西翼7区,中级,重载,2.0,7.7,极硬煤层,8,3.9,2:1,0.44,12,26,35.2,71,90,82,111,675,1,E235,回转马达,否,2,2100
U0028,2026-06-10,CME220,西翼8区,高级,经济,1.2,3.1,软煤层,22,2.4,1:3,0.27,5,21,30.9,56,70,96,66,1002,0,NORMAL,无,否,0,0
U0029,2026-06-10,CME260,南翼7区,初级,标准,1.5,5.6,硬煤层,14,3.1,1:2,0.34,8,24,33.1,63,81,90,85,855,1,E121,驱动马达,否,1.5,1300
U0030,2026-06-10,CME330,南翼8区,高级,重载,2.0,8.3,极硬煤层,6,4.0,2:1,0.47,13,27,35.6,74,92,70,117,635,2,E605,发动机控制模块,是,6,9600
U0031,2026-06-11,CME220,北翼7区,中级,经济,1.2,3.5,软煤层,20,2.5,1:3,0.28,5,22,31.2,57,72,95,68,978,0,NORMAL,无,否,0,0
U0032,2026-06-11,CME260,北翼8区,高级,标准,1.5,4.7,中硬煤层,18,2.9,1:2,0.31,6,22,32.3,60,77,94,78,918,0,NORMAL,无,否,0,0
U0033,2026-06-11,CME330,东翼9区,中级,重载,2.0,7.4,硬煤层,9,3.8,2:1,0.42,11,25,34.9,69,88,85,104,715,1,E217,主控制阀,否,2,1800
U0034,2026-06-12,CME220,东翼10区,高级,经济,1.2,2.8,软煤层,24,2.2,1:4,0.25,4,20,30.5,55,68,97,63,1038,0,NORMAL,无,否,0,0
U0035,2026-06-12,CME260,西翼9区,中级,标准,1.5,5.8,硬煤层,13,3.2,1:2,0.35,8,24,33.4,64,82,89,88,842,1,E309,液压阀组,否,2,1700
U0036,2026-06-12,CME330,西翼10区,高级,重载,2.0,7.9,极硬煤层,7,3.9,2:1,0.45,12,26,35.4,72,91,76,113,662,2,E518,液压主泵,是,7,12800
U0037,2026-06-13,CME220,南翼9区,高级,经济,1.2,3.0,软煤层,23,2.3,1:3,0.27,5,21,30.8,56,69,96,65,998,0,NORMAL,无,否,0,0
U0038,2026-06-13,CME260,南翼10区,高级,标准,1.5,5.0,中硬煤层,17,2.8,1:2,0.32,7,23,32.6,61,78,94,80,900,0,NORMAL,无,否,0,0
U0039,2026-06-13,CME330,北翼9区,中级,重载,2.0,7.6,硬煤层,8,3.8,2:1,0.43,11,25,35.0,70,89,84,107,700,1,E228,回转减速机,否,2.5,2600
U0040,2026-06-14,CME220,北翼10区,高级,经济,1.2,3.2,软煤层,21,2.4,1:3,0.28,5,22,31.1,57,71,95,67,988,0,NORMAL,无,否,0,0
U0041,2026-06-14,CME260,东翼11区,中级,标准,1.5,5.1,中硬煤层,16,3.0,1:2,0.32,7,23,32.7,61,78,93,80,895,0,NORMAL,无,否,0,0
U0042,2026-06-14,CME330,西翼11区,高级,重载,2.0,7.7,极硬煤层,8,3.9,2:1,0.44,12,26,35.2,71,90,82,111,675,1,E235,回转马达,否,2,2100
U0043,2026-06-15,CME220,南翼11区,高级,经济,1.2,3.1,软煤层,22,2.4,1:3,0.27,5,21,30.9,56,70,96,66,1002,0,NORMAL,无,否,0,0
U0044,2026-06-15,CME260,北翼11区,初级,标准,1.5,5.6,硬煤层,14,3.1,1:2,0.34,8,24,33.1,63,81,90,85,855,1,E121,驱动马达,否,1.5,1300
U0045,2026-06-15,CME330,东翼12区,高级,重载,2.0,8.3,极硬煤层,6,4.0,2:1,0.47,13,27,35.6,74,92,70,117,635,2,E605,发动机控制模块,是,6,9600
U0046,2026-06-16,CME220,西翼12区,中级,经济,1.2,3.5,软煤层,20,2.5,1:3,0.28,5,22,31.2,57,72,95,68,978,0,NORMAL,无,否,0,0
U0047,2026-06-16,CME260,南翼12区,高级,标准,1.5,4.7,中硬煤层,18,2.9,1:2,0.31,6,22,32.3,60,77,94,78,918,0,NORMAL,无,否,0,0
U0048,2026-06-16,CME330,北翼12区,中级,重载,2.0,7.4,硬煤层,9,3.8,2:1,0.42,11,25,34.9,69,88,85,104,715,1,E217,主控制阀,否,2,1800
U0049,2026-06-17,CME220,东翼13区,高级,经济,1.2,2.8,软煤层,24,2.2,1:4,0.25,4,20,30.5,55,68,97,63,1038,0,NORMAL,无,否,0,0
U0050,2026-06-17,CME260,西翼13区,中级,标准,1.5,5.8,硬煤层,13,3.2,1:2,0.35,8,24,33.4,64,82,89,88,842,1,E309,液压阀组,否,2,1700
U0051,2026-06-17,CME330,南翼13区,高级,重载,2.0,7.9,极硬煤层,7,3.9,2:1,0.45,12,26,35.4,72,91,76,113,662,2,E518,液压主泵,是,7,12800
U0052,2026-06-18,CME220,北翼13区,高级,经济,1.2,3.0,软煤层,23,2.3,1:3,0.27,5,21,30.8,56,69,96,65,998,0,NORMAL,无,否,0,0
U0053,2026-06-18,CME260,东翼14区,高级,标准,1.5,5.0,中硬煤层,17,2.8,1:2,0.32,7,23,32.6,61,78,94,80,900,0,NORMAL,无,否,0,0
U0054,2026-06-18,CME330,西翼14区,中级,重载,2.0,7.6,硬煤层,8,3.8,2:1,0.43,11,25,35.0,70,89,84,107,700,1,E228,回转减速机,否,2.5,2600
U0055,2026-06-19,CME220,南翼14区,高级,经济,1.2,3.2,软煤层,21,2.4,1:3,0.28,5,22,31.1,57,71,96,67,988,0,NORMAL,无,否,0,0
U0056,2026-06-19,CME260,北翼14区,初级,标准,1.5,5.4,中硬煤层,16,3.0,1:2,0.33,7,23,32.9,62,79,91,83,872,0,NORMAL,无,否,0,0
U0057,2026-06-19,CME330,东翼15区,高级,重载,2.0,8.0,极硬煤层,6,4.1,2:1,0.46,13,27,35.5,73,92,72,115,648,2,E432,液压系统,是,5.5,7200
U0058,2026-06-20,CME220,西翼15区,高级,经济,1.2,2.9,软煤层,25,2.2,1:4,0.24,4,20,30.4,55,67,97,62,1042,0,NORMAL,无,否,0,0
U0059,2026-06-20,CME260,南翼15区,中级,标准,1.5,4.9,中硬煤层,18,2.9,1:2,0.31,6,22,32.4,60,77,93,78,916,0,NORMAL,无,否,0,0
U0060,2026-06-20,CME330,北翼15区,高级,重载,2.0,7.2,硬煤层,10,3.7,2:1,0.41,11,25,34.7,68,87,86,102,728,1,E204,斗杆油缸,否,1.5,1100
